client_code,name,product,status,city,date,type,direction,amount,currency
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-06-03 16:27:24,deposit_fx_topup_out,out,135384.0,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-01 16:34:35,cashback_in,in,14247.92,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-09 18:31:00,deposit_fx_withdraw_in,in,196315.71,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-07 09:14:11,cashback_in,in,193663.43,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-10 17:28:05,card_in,in,234363.29,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-15 14:11:46,refund_in,in,168802.93,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-12 14:04:46,family_in,in,160809.32,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-21 15:12:48,family_in,in,27364.82,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-16 12:51:01,fx_buy,out,248293.31,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-02 19:33:09,cashback_in,in,269501.87,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-06-02 17:26:57,deposit_fx_withdraw_in,in,50480.41,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-03 17:39:55,cc_repayment_out,out,32101.65,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-13 20:24:00,loan_payment_out,out,88916.46,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-13 20:24:00,deposit_fx_withdraw_in,in,106119.23,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-06-30 16:08:36,deposit_fx_withdraw_in,in,225327.9,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-06-24 17:20:00,card_in,in,139607.54,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-06 17:37:25,installment_payment_out,out,71686.85,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-03 08:49:47,utilities_out,out,95256.32,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-08 16:13:54,utilities_out,out,11992.11,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-06-26 09:49:41,loan_payment_out,out,153137.85,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-13 20:24:00,family_in,in,257761.02,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-15 14:11:46,fx_buy,in,168607.28,RUB
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-06-05 08:31:24,loan_payment_out,out,60207.79,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-04 20:23:34,atm_withdrawal,in,200340.69,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-26 14:27:02,deposit_fx_topup_out,out,158306.41,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-01 16:34:35,fx_sell,in,153004.53,USD
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-20 15:08:55,deposit_fx_withdraw_in,in,65327.8,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-20 08:37:28,gold_buy_out,out,98138.13,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-05 08:18:33,deposit_fx_withdraw_in,in,176890.11,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-05 08:18:33,deposit_fx_withdraw_in,in,239082.83,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-06-16 09:55:50,fx_sell,out,262859.73,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-06-06 12:52:10,stipend_in,in,283102.82,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-05 08:18:33,cashback_in,in,160252.82,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-08-20 08:37:28,deposit_fx_topup_out,out,61742.64,KZT
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-02 19:33:09,fx_buy,in,287687.54,EUR
76,Асель,Инвестиции,Зарплатный клиент,Павлодар,2025-07-11 10:26:04,refund_in,in,252365.11,KZT
