client_code,name,product,status,city,date,category,amount,currency
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-10 17:11:45,Путешествия,38073.49,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-23 08:48:23,Путешествия,176476.41,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-27 12:02:21,АЗС,11154.44,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-11 10:26:04,Спа и массаж,29329.86,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-30 18:36:31,Авто,18733.89,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-04 16:52:49,Ювелирные украшения,11427.33,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-24 10:36:37,Ремонт дома,8622.06,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-11 10:26:04,Спа и массаж,45149.07,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-22 17:47:14,Кафе и рестораны,17335.14,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-03 16:27:24,Едим дома,8530.31,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-15 08:16:23,Продукты питания,12554.36,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-09 18:31:00,Путешествия,63250.35,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-08 16:13:54,Спа и массаж,26161.2,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-16 12:51:01,Медицина,48182.86,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-02 19:33:09,Медицина,3333.5,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-12 14:04:46,Путешествия,195326.77,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-22 17:47:14,Кино,44778.55,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-05 08:31:24,Путешествия,111982.76,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-12 12:32:28,Путешествия,164490.57,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-13 20:24:00,Отели,58387.79,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-16 09:55:50,Ювелирные украшения,17948.92,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-01 17:37:31,Кафе и рестораны,21662.25,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-07 12:20:59,Развлечения,13528.34,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-24 17:20:00,Мебель,6369.84,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-19 11:27:49,Цветы,40387.93,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-30 16:08:36,Книги,8770.32,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-27 12:02:21,Ремонт дома,40234.47,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-26 09:49:41,Спорт,39244.68,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-23 08:48:23,Играем дома,9256.72,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-15 14:11:46,Ремонт дома,22246.76,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-30 18:36:31,АЗС,3995.94,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-25 10:05:39,Ювелирные украшения,33349.82,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-28 12:22:34,АЗС,8477.2,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-03 16:27:24,Кино,2477.42,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-09 14:47:58,Играем дома,11302.2,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-09 18:31:00,АЗС,14961.09,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-30 16:08:36,Медицина,14147.03,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-03 16:27:24,Подарки,42956.21,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-26 09:49:41,Одежда и обувь,26470.99,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-16 21:16:52,Спа и массаж,24292.85,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-06-06 12:52:10,Мебель,3404.82,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-15 14:11:46,Книги,23399.21,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-07-13 20:19:45,Мебель,44999.5,KZT
70,Максат,Премиальная карта,Зарплатный клиент,Алматы,2025-08-13 20:24:00,Питомцы,19018.69,KZT
