client_code,name,product,status,city,date,category,amount,currency
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-08-05 13:50:34,Подарки,46030.3,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-03 16:27:24,Цветы,9438.11,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-20 15:08:55,Отели,57511.86,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-20 15:08:55,Такси,5363.11,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-19 11:27:49,Косметика и Парфюмерия,48064.2,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-08-22 17:47:14,Кафе и рестораны,19201.73,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-12 12:32:28,Мебель,43747.03,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-12 12:32:28,Медицина,34840.93,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-01 20:32:18,Авто,9039.57,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-26 14:27:02,Спа и массаж,43973.18,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-08-28 09:35:35,Играем дома,11861.59,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-31 11:53:54,Едим дома,14946.18,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-26 09:49:41,Кафе и рестораны,13703.68,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-08 21:35:18,Отели,120233.75,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-13 20:19:45,Отели,151173.96,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-26 09:49:41,Подарки,19799.97,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-07 12:20:59,Книги,2181.79,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-22 08:20:23,Спорт,34642.95,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-19 11:27:49,Одежда и обувь,40352.08,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-27 12:02:21,Мебель,7863.28,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-13 20:19:45,Косметика и Парфюмерия,22879.0,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-26 14:27:02,Развлечения,16890.51,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-07 12:20:59,Отели,23939.09,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-09 16:15:10,Смотрим дома,7460.82,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-08-20 08:37:28,Развлечения,31637.63,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-15 14:11:46,Спа и массаж,35176.61,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-08-13 20:24:00,Авто,44628.4,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-17 15:00:46,Путешествия,174511.11,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-03 16:27:24,Косметика и Парфюмерия,5791.06,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-09 16:15:10,Продукты питания,8896.34,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-23 08:48:23,Одежда и обувь,8907.97,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-13 20:19:45,Такси,2446.46,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-07-02 19:33:09,Такси,2186.93,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-14 11:00:52,Подарки,28678.64,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-29 14:31:30,Такси,4491.86,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-08-18 21:49:38,Кафе и рестораны,17069.33,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-19 11:27:49,Играем дома,6370.2,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-08-13 20:24:00,Ювелирные украшения,8572.77,KZT
79,Маржан,Кредитная карта,Зарплатный клиент,Костанай,2025-06-18 18:43:26,Едим дома,7002.11,KZT
