client_code,name,product,status,city,date,type,direction,amount,currency
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-07 12:20:59,deposit_fx_topup_out,out,207688.51,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-11 10:26:04,p2p_out,out,220046.95,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-27 15:21:11,gold_sell_in,in,114227.72,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-29 19:20:23,card_in,in,209666.66,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-03 08:49:47,deposit_fx_withdraw_in,in,126154.48,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-23 13:15:16,cc_repayment_out,out,273039.01,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-15 08:16:23,card_in,in,240875.47,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-04 16:52:49,refund_in,in,81679.7,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-15 13:44:36,deposit_fx_withdraw_in,in,87458.44,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-08 13:19:44,fx_sell,in,22973.47,USD
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-07 09:14:11,deposit_fx_topup_out,out,37921.24,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-28 17:59:51,utilities_out,out,253567.18,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-07 21:39:00,cashback_in,in,57479.49,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-25 15:40:37,card_in,in,85380.75,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-15 13:44:36,card_out,out,142865.65,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-30 16:08:36,atm_withdrawal,in,70989.16,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-05 13:50:34,deposit_fx_withdraw_in,in,120973.07,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-14 19:55:26,family_in,in,297749.03,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-08 13:19:44,gold_sell_in,in,41467.68,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-26 14:27:02,fx_sell,out,108606.33,USD
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-28 12:22:34,deposit_topup_out,out,89142.89,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-25 10:05:39,invest_in,in,161980.82,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-28 17:59:51,refund_in,in,109780.25,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-13 20:24:00,invest_in,in,291689.0,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-07-21 15:12:48,gold_buy_out,out,145794.87,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-10 14:51:40,card_in,in,222259.85,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-16 09:55:50,card_out,out,238997.13,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-06-15 08:16:23,card_out,out,167993.05,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-02 12:16:31,loan_payment_out,out,160376.13,KZT
95,Нурсултан,Депозит Накопительный,Зарплатный клиент,Кызылорда,2025-08-07 09:14:11,stipend_in,in,150200.49,KZT
